"Dte.","Barris","1r Trimestre","2n Trimestre","3r Trimestre","4rt Trimestre","Acumulat/1r Trimestre","Acumulat/2n Trimestre","Acumulat/3r Trimestre","Acumulat/4rt Trimestre"
"BARCELONA",,11156,12084,12898,13815,11156,23240,36138,49953
1,"1. el Raval",484,488,481,550,484,972,1453,2003
1,"2. el Barri Gòtic",203,199,191,215,203,402,593,808
1,"3. la Barceloneta",214,234,200,209,214,448,648,857
1,"4. Sant Pere, Santa Caterina i la Ribera",316,321,298,374,316,637,935,1309
2,"5. el Fort Pienc",240,271,246,297,240,511,757,1054
2,"6. la Sagrada Família",378,430,466,482,378,808,1274,1756
2,"7. la Dreta de l'Eixample",435,446,448,542,435,881,1329,1871
2,"8. l'Antiga Esquerra de l'Eixample",405,473,522,528,405,878,1400,1928
2,"9. la Nova Esquerra de l'Eixample",450,474,514,626,450,924,1438,2064
2,"10. Sant Antoni",255,326,362,408,255,581,943,1351
3,"11. el Poble Sec - AEI Parc Montjuïc",266,295,314,336,266,561,875,1211
3,"12. la Marina del Prat Vermell - AEI Zona Franca",1,"-",1,2,1,1,2,4
3,"13. la Marina de Port",91,104,89,118,91,195,284,402
3,"14. la Font de la Guatlla",62,56,86,73,62,118,204,277
3,"15. Hostafrancs",130,131,143,162,130,261,404,566
3,"16. la Bordeta",100,91,113,116,100,191,304,420
3,"17. Sants - Badal",153,168,159,171,153,321,480,651
3,"18. Sants",302,318,378,401,302,620,998,1399
4,"19. les Corts",304,307,352,360,304,611,963,1323
4,"20. la Maternitat i Sant Ramon",120,143,171,178,120,263,434,612
4,"21. Pedralbes",40,55,59,42,40,95,154,196
5,"22. Vallvidrera, el Tibidabo i les Planes",20,18,12,19,20,38,50,69
5,"23. Sarrià",150,161,176,194,150,311,487,681
5,"24. les Tres Torres",68,81,92,95,68,149,241,336
5,"25. Sant Gervasi - la Bonanova",174,198,207,223,174,372,579,802
5,"26. Sant Gervasi - Galvany",400,368,367,395,400,768,1135,1530
5,"27. el Putxet i el Farró",278,270,287,363,278,548,835,1198
6,"28. Vallcarca i els Penitents",134,124,129,165,134,258,387,552
6,"29. el Coll",45,45,47,56,45,90,137,193
6,"30. la Salut",86,84,89,147,86,170,259,406
6,"31. la Vila de Gràcia",589,614,627,740,589,1203,1830,2570
6,"32. el Camp d'en Grassot i Gràcia Nova",239,259,271,360,239,498,769,1129
7,"33. el Baix Guinardó",174,169,204,199,174,343,547,746
7,"34. Can Baró",56,64,68,81,56,120,188,269
7,"35. el Guinardó",231,285,238,307,231,516,754,1061
7,"36. la Font d'en Fargues",29,32,28,39,29,61,89,128
7,"37. el Carmel",184,180,158,193,184,364,522,715
7,"38. la Teixonera",77,79,64,81,77,156,220,301
7,"39. Sant Genís dels Agudells",40,44,49,37,40,84,133,170
7,"40. Montbau",28,38,35,40,28,66,101,141
7,"41. la Vall d'Hebron",19,10,23,24,19,29,52,76
7,"42. la Clota","-",3,2,3,"-",3,5,8
7,"43. Horta",138,128,165,151,138,266,431,582
8,"44. Vilapicina i la Torre Llobeta",152,130,131,172,152,282,413,585
8,"45. Porta",110,162,136,149,110,272,408,557
8,"46. el Turó de la Peira",81,81,91,96,81,162,253,349
8,"47. Can Peguera",1,6,5,2,1,7,12,14
8,"48. la Guineueta",69,67,63,88,69,136,199,287
8,"49. Canyelles",13,10,11,13,13,23,34,47
8,"50. les Roquetes",62,84,68,71,62,146,214,285
8,"51. Verdun",46,72,57,66,46,118,175,241
8,"52. la Prosperitat",102,118,122,145,102,220,342,487
8,"53. la Trinitat Nova",22,30,32,37,22,52,84,121
8,"54. Torre Baró",9,3,6,12,9,12,18,30
8,"55. Ciutat Meridiana",30,30,33,34,30,60,93,127
8,"56. Vallbona",4,6,1,5,4,10,11,16
9,"57. la Trinitat Vella",39,50,37,48,39,89,126,174
9,"58. Baró de Viver",4,3,2,2,4,7,9,11
9,"59. el Bon Pastor",42,54,35,36,42,96,131,167
9,"60. Sant Andreu",267,285,264,310,267,552,816,1126
9,"61. la Sagrera",152,168,169,180,152,320,489,669
9,"62. el Congrés i els Indians",79,72,72,86,79,151,223,309
9,"63. Navas",110,128,135,153,110,238,373,526
10,"64. el Camp de l'Arpa del Clot",273,320,303,343,273,593,896,1239
10,"65. el Clot",141,162,167,202,141,303,470,672
10,"66. el Parc i la Llacuna del Poblenou",100,86,89,93,100,186,275,368
10,"67. la Vila Olímpica del Poblenou",43,48,57,71,43,91,148,219
10,"68. el Poblenou",222,243,222,286,222,465,687,973
10,"69. Diagonal Mar i el Front Marítim del Poblenou",90,132,90,82,90,222,312,394
10,"70. el Besòs i el Maresme",63,85,94,112,63,148,242,354
10,"71. Provençals del Poblenou",103,101,104,119,103,204,308,427
10,"72. Sant Martí de Provençals",102,125,109,118,102,227,336,454
10,"73. la Verneda i la Pau",77,107,96,93,77,184,280,373
,"NC barri",440,532,1166,489,440,972,2138,2627
