PERIODO;CODIBARRIO;NOMBARRIO;NOMDISTR;INDICE
marzo-14;01; el Raval;Ciutat Vella;0.541
marzo-14;02; el Barri Gotic;Ciutat Vella;0.388
marzo-14;03; la Barceloneta;Ciutat Vella;0.541
marzo-14;04; Sant Pere, Santa Caterina i la Ribera;Ciutat Vella;0.452
marzo-14;05; el Fort Pienc;Eixample;0.448
marzo-14;06; la Sagrada Familia;Eixample;0.522
marzo-14;07; la Dreta de l'Eixample;Eixample;0.490
marzo-14;08; l'Antiga Esquerra de l'Eixample;Eixample;0.533
marzo-14;09; la Nova Esquerra de l'Eixample;Eixample;0.583
marzo-14;10; Sant Antoni;Eixample;0.480
marzo-14;11; el Poble Sec ;Sants;0.486
marzo-14;12; la Marina del Prat Vermell ;Sants;0.285
marzo-14;13; la Marina de Port;Sants;0.321
marzo-14;14; la Font de la Guatlla;Sants;0.371
marzo-14;15; Hostafrancs;Sants;0.394
marzo-14;16; la Bordeta;Sants;0.354
marzo-14;17; Sants - Badal;Sants;0.412
marzo-14;18; Sants;Sants;0.507
marzo-14;19; les Corts;Les Corts;0.490
marzo-14;20; la Maternitat i Sant Ramon;Les Corts;0.386
marzo-14;21; Pedralbes;Les Corts;0.405
marzo-14;22; Vallvidrera, el Tibidabo i les Planes;Sarria - Sant Gervasi;0.240
marzo-14;23; Sarria;Sarria - Sant Gervasi;0.469
marzo-14;24; les Tres Torres;Sarria - Sant Gervasi;0.463
marzo-14;25; Sant Gervasi - la Bonanova;Sarria - Sant Gervasi;0.404
marzo-14;26; Sant Gervasi - Galvany;Sarria - Sant Gervasi;0.523
marzo-14;27; el Putxet i el Farro;Sarria - Sant Gervasi;0.462
marzo-14;28; Vallcarca i els Penitents;Gracia;0.354
marzo-14;29; el Coll;Gracia;0.333
marzo-14;30; la Salut;Gracia;0.357
marzo-14;31; la Vila de Gracia;Gracia;0.663
marzo-14;32; el Camp d'en Grassot i Gracia Nova;Gracia;0.445
marzo-14;33; el Baix Guinardo;Horta-Guinardo;0.392
marzo-14;34; Can Baro;Horta-Guinardo;0.357
marzo-14;35; el Guinardo;Horta-Guinardo;0.420
marzo-14;36; la Font d'en Fargues;Horta-Guinardo;0.314
marzo-14;37; el Carmel;Horta-Guinardo;0.360
marzo-14;38; la Teixonera;Horta-Guinardo;0.307
marzo-14;39; Sant Genos dels Agudells;Horta-Guinardo;0.278
marzo-14;40; Montbau;Horta-Guinardo;0.310
marzo-14;41; la Vall d'Hebron;Horta-Guinardo;0.366
marzo-14;42; la Clota;Horta-Guinardo;0.484
marzo-14;43; Horta;Horta-Guinardo;0.349
marzo-14;44; Vilapicina i la Torre Llobeta;Nou Barris;0.363
marzo-14;45; Porta;Nou Barris;0.350
marzo-14;46; el Turo de la Peira;Nou Barris;0.271
marzo-14;47; Can Peguera;Nou Barris;0.459
marzo-14;48; la Guineueta;Nou Barris;0.302
marzo-14;49; Canyelles;Nou Barris;0.238
marzo-14;50; les Roquetes;Nou Barris;0.319
marzo-14;51; Verdun;Nou Barris;0.322
marzo-14;52; la Prosperitat;Nou Barris;0.364
marzo-14;53; la Trinitat Nova;Nou Barris;0.314
marzo-14;54; Torre Baro;Nou Barris;0.125
marzo-14;55; Ciutat Meridiana;Nou Barris;0.233
marzo-14;56; Vallbona;Nou Barris;0.181
marzo-14;57; la Trinitat Vella;Sant Andreu;0.290
marzo-14;58; Baro de Viver;Sant Andreu;0.158
marzo-14;59; el Bon Pastor;Sant Andreu;0.286
marzo-14;60; Sant Andreu;Sant Andreu;0.453
marzo-14;61; la Sagrera;Sant Andreu;0.397
marzo-14;62; el Congros i els Indians;Sant Andreu;0.343
marzo-14;63; Navas;Sant Andreu;0.356
marzo-14;64; el Camp de l'Arpa del Clot;Sant Marti;0.465
marzo-14;65; el Clot;Sant Marti;0.397
marzo-14;66; el Parc i la Llacuna del Poblenou;Sant Marti;0.399
marzo-14;67; la Vila Olompica del Poblenou;Sant Marti;0.397
marzo-14;68; el Poblenou;Sant Marti;0.466
marzo-14;69; Diagonal Mar i el Front Marotim del Poblenou;Sant Marti;0.427
marzo-14;70; el Besos i el Maresme;Sant Marti;0.334
marzo-14;71; Proven̤als del Poblenou;Sant Marti;0.367
marzo-14;72; Sant Marto de Proven̤als;Sant Marti;0.328
marzo-14;73; la Verneda i la Pau;Sant Marti;0.313
junio-14;01; el Raval;Ciutat Vella;0.566
junio-14;02; el Barri Gotic;Ciutat Vella;0.408
junio-14;03; la Barceloneta;Ciutat Vella;0.555
junio-14;04; Sant Pere, Santa Caterina i la Ribera;Ciutat Vella;0.488
junio-14;05; el Fort Pienc;Eixample;0.467
junio-14;06; la Sagrada Familia;Eixample;0.572
junio-14;07; la Dreta de l'Eixample;Eixample;0.546
junio-14;08; l'Antiga Esquerra de l'Eixample;Eixample;0.566
junio-14;09; la Nova Esquerra de l'Eixample;Eixample;0.585
junio-14;10; Sant Antoni;Eixample;0.470
junio-14;11; el Poble Sec ;Sants;0.493
junio-14;12; la Marina del Prat Vermell ;Sants;0.218
junio-14;13; la Marina de Port;Sants;0.314
junio-14;14; la Font de la Guatlla;Sants;0.350
junio-14;15; Hostafrancs;Sants;0.393
junio-14;16; la Bordeta;Sants;0.353
junio-14;17; Sants - Badal;Sants;0.419
junio-14;18; Sants;Sants;0.485
junio-14;19; les Corts;Les Corts;0.482
junio-14;20; la Maternitat i Sant Ramon;Les Corts;0.392
junio-14;21; Pedralbes;Les Corts;0.475
junio-14;22; Vallvidrera, el Tibidabo i les Planes;Sarria - Sant Gervasi;0.212
junio-14;23; Sarria;Sarria - Sant Gervasi;0.490
junio-14;24; les Tres Torres;Sarria - Sant Gervasi;0.465
junio-14;25; Sant Gervasi - la Bonanova;Sarria - Sant Gervasi;0.427
junio-14;26; Sant Gervasi - Galvany;Sarria - Sant Gervasi;0.535
junio-14;27; el Putxet i el Farro;Sarria - Sant Gervasi;0.471
junio-14;28; Vallcarca i els Penitents;Gracia;0.385
junio-14;29; el Coll;Gracia;0.329
junio-14;30; la Salut;Gracia;0.367
junio-14;31; la Vila de Gracia;Gracia;0.682
junio-14;32; el Camp d'en Grassot i Gracia Nova;Gracia;0.464
junio-14;33; el Baix Guinardo;Horta-Guinardo;0.407
junio-14;34; Can Baro;Horta-Guinardo;0.313
junio-14;35; el Guinardo;Horta-Guinardo;0.438
junio-14;36; la Font d'en Fargues;Horta-Guinardo;0.385
junio-14;37; el Carmel;Horta-Guinardo;0.386
junio-14;38; la Teixonera;Horta-Guinardo;0.305
junio-14;39; Sant Genos dels Agudells;Horta-Guinardo;0.283
junio-14;40; Montbau;Horta-Guinardo;0.304
junio-14;41; la Vall d'Hebron;Horta-Guinardo;0.328
junio-14;42; la Clota;Horta-Guinardo;0.293
junio-14;43; Horta;Horta-Guinardo;0.350
junio-14;44; Vilapicina i la Torre Llobeta;Nou Barris;0.363
junio-14;45; Porta;Nou Barris;0.371
junio-14;46; el Turo de la Peira;Nou Barris;0.311
junio-14;47; Can Peguera;Nou Barris;0.427
junio-14;48; la Guineueta;Nou Barris;0.315
junio-14;49; Canyelles;Nou Barris;0.194
junio-14;50; les Roquetes;Nou Barris;0.304
junio-14;51; Verdun;Nou Barris;0.336
junio-14;52; la Prosperitat;Nou Barris;0.369
junio-14;53; la Trinitat Nova;Nou Barris;0.310
junio-14;54; Torre Baro;Nou Barris;0.202
junio-14;55; Ciutat Meridiana;Nou Barris;0.247
junio-14;56; Vallbona;Nou Barris;0.218
junio-14;57; la Trinitat Vella;Sant Andreu;0.233
junio-14;58; Baro de Viver;Sant Andreu;0.159
junio-14;59; el Bon Pastor;Sant Andreu;0.274
junio-14;60; Sant Andreu;Sant Andreu;0.448
junio-14;61; la Sagrera;Sant Andreu;0.394
junio-14;62; el Congros i els Indians;Sant Andreu;0.336
junio-14;63; Navas;Sant Andreu;0.332
junio-14;64; el Camp de l'Arpa del Clot;Sant Marti;0.458
junio-14;65; el Clot;Sant Marti;0.408
junio-14;66; el Parc i la Llacuna del Poblenou;Sant Marti;0.374
junio-14;67; la Vila Olompica del Poblenou;Sant Marti;0.453
junio-14;68; el Poblenou;Sant Marti;0.456
junio-14;69; Diagonal Mar i el Front Marotim del Poblenou;Sant Marti;0.392
junio-14;70; el Besos i el Maresme;Sant Marti;0.314
junio-14;71; Proven̤als del Poblenou;Sant Marti;0.347
junio-14;72; Sant Marto de Proven̤als;Sant Marti;0.362
junio-14;73; la Verneda i la Pau;Sant Marti;0.327
