ID_BARRIO;NOM_BARRIO;ID_DISTRIT;NOM_DISTR;1_2014;2_2014;3_2014;4_2014;1_2015;2_2015;3_2015;4_2015;1_2016;2_2016;3_2016;4_2016;1_2017;2_2017;3_2017;4_2017;1_2018;2_2018;3_2018;4_2018;
01; el Raval;1;Ciutat Vella;3474,8;3923,5;3745,6;3930,3;2987,4;3931,9;3847,7;4438,9;4079,9;4165,8;3730,3;4493,4;5088,5;4988,9;5205,8;6101,1;5550,7;5500,8;5351,5;5452,0;
02; el Barri Gotic;1;Ciutat Vella;1232,1;1541,5;1560,7;1454,7;1382,5;1895,3;1416,3;2080,3;2890,4;2418,6;2732,6;3425,6;3079,7;3281,1;3297,1;3573,1;3465,0;4219,7;3599,1;4388,7;
03; la Barceloneta;1;Ciutat Vella;1784,1;2216,4;1886,7;2136,8;2269,6;3030,0;2782,9;3046,9;1765,2;1663,4;1561,3;1897,7;2113,6;2274,2;1869,5;2064,7;1197,6;1333,8;922,1;1142,5;
04; Sant Pere, Santa Caterina i la Ribera;1;Ciutat Vella;1944,0;2593,9;2736,0;2376,6;2129,8;3058,3;2678,2;3565,7;5364,8;6112,6;6544,9;6560,6;7189,5;7537,8;6704,5;8559,6;5372,6;5683,4;4588,3;5973,0;
05; el Fort Pienc;2;Eixample;1968,7;2394,2;2181,3;1889,5;1681,5;2081,4;2266,4;2325,8;2511,1;2492,2;2867,5;3116,4;3139,5;3646,5;3530,4;3994,4;4060,7;3929,0;4465,1;3473,1;
06; la Sagrada Familia;2;Eixample;3045,0;3941,1;3726,3;3833,2;3265,7;3797,8;3788,6;4500,9;3468,0;3502,7;3940,0;4472,6;4346,2;5021,9;5705,6;5756,0;6136,5;5934,3;5661,5;6187,9;
07; la Dreta de l'Eixample;2;Eixample;2815,6;3587,5;3334,6;3223,4;2690,3;3302,8;3701,3;5033,9;6341,4;5906,6;7119,0;7916,7;7183,0;7896,9;7752,3;9499,2;9503,5;9940,1;9479,9;11300,4;
08; l'Antiga Esquerra de l'Eixample;2;Eixample;3376,7;3726,3;4363,0;4242,8;3316,0;3462,1;4319,2;4746,0;3079,9;3833,3;4833,3;4471,3;4074,4;5034,6;5923,4;5764,6;5898,2;5494,2;6761,0;6590,3;
09; la Nova Esquerra de l'Eixample;2;Eixample;4170,1;4184,1;4819,5;4487,9;3796,0;4171,4;4854,9;5600,4;3780,6;4338,6;4936,5;5121,6;4956,2;5408,8;5733,5;7163,5;6056,3;7291,3;7592,9;7239,0;
10; Sant Antoni;2;Eixample;2633,7;2446,3;2979,2;2731,9;2175,9;2637,2;2770,1;3566,8;2762,5;3096,7;3316,8;3370,8;2937,4;3858,9;4581,9;5059,9;4698,2;4651,2;5176,7;4565,5;
11; el Poble Sec ;3;Sants;2603,7;2699,1;2708,9;2700,8;2344,4;2713,8;2685,8;2815,0;2412,1;2459,3;2696,6;2701,4;2480,8;2980,7;3164,9;3510,2;3680,5;4075,8;3850,5;4016,2;
12; la Marina del Prat Vermell ;3;Sants;8,4;6,4;21,6;13,5;13,3;75,6;31,3;93,9;75,3;23,1;11,9;0,0;12,3;25,7;13,3;27,2;13,2;25,6;0,0;13,5;
13; la Marina de Port;3;Sants;665,9;825,6;730,0;764,3;523,9;755,6;840,2;718,7;847,3;438,8;487,3;615,8;895,9;942,4;704,0;715,9;996,3;864,6;1322,4;1312,4;
14; la Font de la Guatlla;3;Sants;560,4;490,8;707,3;840,3;476,5;445,8;525,0;657,8;637,7;679,2;838,8;781,9;689,7;623,2;1017,5;865,5;1126,2;1128,4;1055,6;986,4;
15; Hostafrancs;3;Sants;1123,0;1177,4;1081,7;1239,4;989,7;933,3;1157,6;1573,2;966,3;908,4;1296,3;1358,0;1321,1;1454,8;1716,1;1905,6;1619,1;2237,7;1680,2;1996,0;
16; la Bordeta;3;Sants;792,7;798,2;853,1;822,4;647,8;614,9;698,0;921,6;883,6;616,0;626,3;794,7;1257,0;1123,6;1567,5;1446,8;1420,7;1254,6;1484,3;1657,1;
17; Sants - Badal;3;Sants;1427,2;1589,8;1673,2;1621,2;1207,3;1698,2;1837,4;1733,6;1274,7;1579,9;1688,5;1862,9;1506,4;1844,1;1824,3;1949,2;2198,2;2154,8;2300,9;2412,3;
18; Sants;3;Sants;2983,9;2574,3;3133,1;2941,5;2232,9;2509,5;2867,2;3391,1;2917,7;2467,3;4048,9;3883,9;3856,8;4170,9;4902,1;5247,9;5041,5;5258,4;5409,3;5210,0;
19; les Corts;4;Les Corts;2354,0;2485,5;3072,3;2505,7;2131,8;2464,7;3132,5;3301,2;3207,1;3653,0;4648,3;4691,2;4614,1;4838,8;5520,3;5828,3;5021,7;5395,8;6478,6;5638,1;
20; la Maternitat i Sant Ramon;4;Les Corts;967,1;1033,3;1700,9;1296,4;804,5;1066,4;1944,1;1676,1;1064,1;1325,9;2063,7;1657,9;1464,4;1727,1;2297,5;2234,0;1829,7;2030,4;2793,9;2415,3;
21; Pedralbes;4;Les Corts;554,6;657,9;726,9;519,5;542,3;596,5;887,1;780,8;779,4;1151,7;1292,7;1212,2;1036,2;1302,1;1507,0;960,8;1837,9;672,6;1816,6;1168,8;
22; Vallvidrera, el Tibidabo i les Planes;5;Sarria - Sant Gervasi;62,5;84,1;123,2;150,8;98,1;103,4;321,6;178,3;151,6;189,4;155,1;150,6;204,7;176,0;134,4;199,7;166,2;243,1;218,9;176,1;
23; Sarria;5;Sarria - Sant Gervasi;1305,7;1455,9;2047,9;1659,7;1241,1;1388,0;2218,7;2002,2;2320,3;2462,2;2223,7;2107,2;2006,1;2802,5;3045,4;3242,1;2809,6;3636,1;3849,2;4211,2;
24; les Tres Torres;5;Sarria - Sant Gervasi;882,7;932,0;1037,4;990,5;802,3;810,8;1166,1;1169,4;1278,7;1340,7;1923,4;1746,6;1269,7;1620,7;2021,8;1758,0;2036,8;1901,2;2338,7;1845,9;
25; Sant Gervasi - la Bonanova;5;Sarria - Sant Gervasi;1181,7;1555,7;2158,1;1949,2;1413,0;2126,4;2371,1;2737,8;2074,4;1724,4;1949,1;2385,8;2007,1;2301,5;2334,2;2800,6;2821,4;3206,6;2720,9;3084,4;
26; Sant Gervasi - Galvany;5;Sarria - Sant Gervasi;3202,6;3262,9;3711,5;3873,9;2761,6;3325,0;4146,4;4354,1;4644,6;4851,6;5881,4;5375,7;5991,1;5471,2;5499,3;6298,4;6133,0;6933,4;6862,3;7550,4;
27; el Putxet i el Farro;5;Sarria - Sant Gervasi;2122,6;2273,1;2447,9;2479,5;2521,0;2706,0;2733,8;3495,8;1867,3;2103,8;2410,1;2451,1;2543,0;2493,9;2760,2;3452,6;2659,8;3177,1;3234,6;3696,3;
28; Vallcarca i els Penitents;6;Gracia;687,0;938,6;1009,8;1131,9;815,5;1162,9;1048,5;1468,5;1268,6;1026,4;1283,7;1506,9;1819,6;1620,3;1672,5;2121,3;1556,8;1734,8;2101,1;1738,3;
29; el Coll;6;Gracia;391,1;426,2;393,2;338,4;298,1;350,5;393,8;495,1;389,1;415,7;499,0;514,3;436,5;456,0;541,6;589,8;627,5;551,9;602,8;523,1;
30; la Salut;6;Gracia;708,0;725,2;674,9;802,3;728,0;616,5;641,6;956,1;912,7;860,3;1017,6;1062,8;1197,4;1160,3;1161,6;1689,2;1176,3;1555,2;1235,8;1465,9;
31; la Vila de Gracia;6;Gracia;5446,9;5810,3;5775,8;5660,4;4899,3;5475,0;5995,7;7342,8;6240,6;6073,9;6257,3;7333,3;6568,7;7008,7;8403,3;10022,9;8571,1;8453,6;8483,2;8930,9;
32; el Camp d'en Grassot i Gracia Nova;6;Gracia;1926,8;2155,2;2456,3;2608,5;2298,3;2530,6;2292,9;3013,7;2586,2;2580,9;3182,1;2845,3;3146,0;3548,3;3804,7;4892,1;4468,1;4944,7;4538,0;4518,8;
33; el Baix Guinardo;7;Horta-Guinardo;1287,3;1499,6;1310,2;1294,7;1284,5;1360,4;1403,7;1967,0;1194,1;1546,0;1624,2;1890,1;1882,7;1876,2;2473,5;2261,6;2666,2;2685,0;2301,4;2088,8;
34; Can Baro;7;Horta-Guinardo;456,3;418,0;609,3;438,0;259,7;487,2;633,2;628,3;352,2;559,7;528,1;596,2;558,6;700,7;742,2;848,2;584,3;872,6;722,0;876,1;
35; el Guinardo;7;Horta-Guinardo;1786,2;2090,2;2050,2;2075,9;1681,2;1919,5;1978,9;2295,5;2587,2;2379,2;2339,4;2693,6;2886,2;3458,5;2874,2;3961,1;3270,8;3301,5;3100,1;3546,4;
36; la Font d'en Fargues;7;Horta-Guinardo;187,7;294,6;243,1;157,9;247,8;281,1;221,8;428,6;324,4;302,7;388,0;387,9;377,1;362,9;414,1;498,4;424,1;366,6;560,2;367,3;
37; el Carmel;7;Horta-Guinardo;1200,8;1416,8;1283,8;1352,2;1198,2;1250,6;1021,9;1355,2;1400,8;1369,1;1208,6;1305,6;1696,7;1664,1;1400,8;1685,7;1815,3;1871,6;1590,2;1750,7;
38; la Teixonera;7;Horta-Guinardo;439,1;471,3;441,3;532,6;472,7;492,4;503,1;765,1;633,1;715,1;725,8;996,0;925,9;926,3;708,9;874,0;605,1;848,7;997,3;1051,9;
39; Sant Genos dels Agudells;7;Horta-Guinardo;245,5;307,0;337,2;388,0;153,1;333,5;305,5;371,6;433,9;429,7;362,3;432,2;392,6;479,6;569,9;428,0;439,7;650,8;606,6;640,0;
40; Montbau;7;Horta-Guinardo;98,5;147,9;202,2;169,0;175,2;266,0;232,2;315,1;200,5;318,0;371,4;363,6;281,8;355,2;359,7;431,6;413,9;356,2;413,3;445,2;
41; la Vall d'Hebron;7;Horta-Guinardo;116,8;150,6;108,2;95,1;118,0;123,4;126,8;217,9;161,9;184,5;319,3;208,9;246,0;123,8;289,1;331,3;312,4;221,4;315,5;404,5;
42; la Clota;7;Horta-Guinardo;14,3;17,2;25,9;30,4;51,2;10,9;56,4;7,1;37,6;32,2;26,6;38,1;9,3;27,9;21,1;30,3;46,2;20,0;21,6;52,1;
43; Horta;7;Horta-Guinardo;918,7;954,2;1027,2;872,1;710,2;1001,3;1073,1;1082,8;2440,6;786,1;1525,0;1404,3;1935,2;2591,8;1816,5;2414,6;3091,2;3108,2;1304,9;1511,9;
44; Vilapicina i la Torre Llobeta;8;Nou Barris;1069,0;955,4;906,0;826,1;835,2;881,6;748,5;1061,8;1089,9;1351,6;1067,5;1115,8;1674,4;1420,4;1487,9;2009,0;1314,0;1888,3;1718,7;1848,5;
45; Porta;8;Nou Barris;988,9;1147,1;1030,8;1188,8;887,0;1023,8;1252,8;1172,3;904,3;1172,1;1060,2;1414,9;1106,6;1600,9;1323,3;1546,7;1643,3;2072,6;1662,2;1635,0;
46; el Turo de la Peira;8;Nou Barris;482,8;697,9;522,6;557,6;450,0;419,7;495,6;714,3;648,3;683,5;653,1;712,0;733,8;776,0;898,7;966,7;974,6;1111,5;989,2;975,2;
47; Can Peguera;8;Nou Barris;199,7;87,6;117,2;100,0;42,1;26,2;26,8;18,7;8,6;37,2;49,1;75,5;10,4;61,7;51,5;21,4;11,1;10,6;21,8;33,5;
48; la Guineueta;8;Nou Barris;424,0;565,5;351,2;583,1;248,5;453,6;332,3;524,0;838,5;578,6;732,8;794,5;842,0;896,8;757,5;1220,4;837,7;1308,7;1140,0;1155,8;
49; Canyelles;8;Nou Barris;41,7;39,4;102,8;82,5;21,4;42,8;43,3;44,1;115,8;61,7;73,2;84,2;130,1;97,1;118,8;120,7;69,1;72,2;113,1;86,6;
50; les Roquetes;8;Nou Barris;509,7;524,5;538,8;511,7;518,4;523,5;535,4;464,4;410,5;451,0;372,6;411,7;363,9;513,1;475,9;541,0;544,5;547,0;434,7;525,3;
51; Verdun;8;Nou Barris;408,7;564,3;537,9;541,2;477,3;543,6;516,9;534,4;590,9;615,0;433,6;601,6;479,1;760,9;580,8;713,8;836,9;803,5;807,7;841,6;
52; la Prosperitat;8;Nou Barris;998,1;1090,0;949,3;1142,9;807,9;1109,6;1051,0;1326,3;910,9;1276,6;1230,0;1363,9;1151,0;1287,8;1320,6;1721,8;1361,9;1921,7;1576,5;1867,4;
53; la Trinitat Nova;8;Nou Barris;295,3;306,9;180,1;230,6;174,1;226,5;230,9;323,2;271,2;172,5;212,7;210,7;208,5;275,4;286,7;348,1;228,3;347,2;373,1;299,1;
54; Torre Baro;8;Nou Barris;7,3;112,4;15,0;7,6;14,9;56,9;17,5;30,7;61,3;86,5;0,0;52,4;68,3;24,6;52,7;101,9;34,3;61,6;46,3;44,0;
55; Ciutat Meridiana;8;Nou Barris;247,8;203,1;247,4;226,7;195,1;172,1;146,8;236,6;135,2;237,8;186,6;291,1;235,2;210,4;205,3;208,2;314,2;306,4;296,1;302,8;
56; Vallbona;8;Nou Barris;5,3;19,2;21,5;9,9;14,8;33,5;13,7;15,2;36,9;26,2;38,2;28,0;37,8;53,9;8,9;43,9;32,1;0,0;31,9;10,5;
57; la Trinitat Vella;9;Sant Andreu;323,2;254,2;313,4;234,1;201,5;314,8;273,1;307,0;254,2;335,1;266,7;302,9;219,8;265,2;221,3;326,4;589,0;356,9;240,8;273,7;
58; Baro de Viver;9;Sant Andreu;23,0;70,5;8,7;13,5;41,7;41,7;25,9;19,5;28,7;9,4;30,7;10,4;27,2;17,0;9,6;11,1;41,7;24,6;41,6;54,4;
59; el Bon Pastor;9;Sant Andreu;296,3;268,3;340,5;340,8;296,6;368,0;347,6;462,0;502,8;326,0;295,8;230,7;377,7;506,9;311,3;241,5;390,6;441,4;386,4;369,6;
60; Sant Andreu;9;Sant Andreu;2329,9;2212,5;2376,4;2094,4;1831,3;2156,0;2277,5;2512,3;2617,1;2269,7;2533,5;2589,8;2782,3;3119,9;2885,4;3382,7;3314,9;3865,0;3822,0;3917,1;
61; la Sagrera;9;Sant Andreu;1391,7;1265,7;1465,2;1296,5;1099,3;1530,8;1302,5;1468,7;1266,8;1217,9;1662,5;1409,6;1391,4;1722,5;1803,0;2057,1;1639,2;2182,6;2188,3;2310,5;
62; el Congros i els Indians;9;Sant Andreu;631,0;485,3;735,7;661,0;490,4;538,6;506,9;625,1;597,3;633,8;599,4;540,5;936,7;851,1;861,9;991,8;987,7;1047,1;1063,3;1106,2;
63; Navas;9;Sant Andreu;883,9;762,3;1094,1;1002,8;1083,2;1022,3;993,3;1068,9;971,9;801,9;1070,1;1190,6;1174,2;1489,8;1609,2;1798,0;1633,1;1661,8;1507,2;1918,6;
64; el Camp de l'Arpa del Clot;10;Sant Marti;2318,5;2368,7;2513,2;2532,7;2042,4;2514,8;2596,4;3197,3;2390,6;2309,2;2638,7;3088,9;2921,0;3492,5;3327,4;3762,0;3689,0;4296,6;4059,0;4321,5;
65; el Clot;10;Sant Marti;1266,0;1288,1;1280,6;1459,0;1053,3;1473,1;1261,3;1576,2;1206,3;1360,7;1471,1;1746,1;1722,7;1905,2;1987,3;2481,4;2347,5;2414,9;2004,2;2208,7;
66; el Parc i la Llacuna del Poblenou;10;Sant Marti;759,5;780,3;866,0;574,8;530,3;915,3;746,6;770,7;658,4;953,1;1065,3;1147,5;1256,6;1182,7;1235,7;1268,9;1262,3;2012,5;1281,8;1246,4;
67; la Vila Olompica del Poblenou;10;Sant Marti;400,4;579,5;406,1;416,6;321,8;617,9;682,0;471,9;619,0;799,7;695,6;933,3;662,5;922,2;1039,7;1327,6;1033,5;1070,2;929,7;1048,1;
68; el Poblenou;10;Sant Marti;1892,4;1976,2;1881,1;1980,7;1587,9;2100,6;1961,6;2453,4;1719,0;2126,9;1954,7;2049,6;2362,2;2672,9;2490,7;3012,1;2959,8;3166,8;2801,3;3426,8;
69; Diagonal Mar i el Front Marotim del Poblenou;10;Sant Marti;777,5;505,2;451,6;128,1;421,7;409,4;396,5;1140,6;659,6;887,9;675,5;1064,4;1228,0;1284,2;1013,8;1250,5;1238,3;1187,4;2196,2;1467,5;
70; el Besos i el Maresme;10;Sant Marti;670,5;667,8;703,5;615,4;536,9;516,5;610,0;558,3;527,3;437,2;535,8;667,8;596,9;827,6;928,6;1128,6;1137,7;1030,8;1178,8;1097,7;
71; Proven̤als del Poblenou;10;Sant Marti;794,6;702,1;614,7;663,4;659,2;736,3;797,1;734,6;798,7;1054,9;982,2;1484,9;1483,8;1355,2;1288,1;1434,7;1736,7;1316,3;1604,7;1325,5;
72; Sant Marto de Proven̤als;10;Sant Marti;690,5;853,2;776,4;783,4;822,2;727,3;832,1;808,0;1000,6;837,1;880,6;943,7;1052,9;1320,6;1162,6;1254,6;1341,0;1455,2;1264,5;1270,6;
73; la Verneda i la Pau;10;Sant Marti;555,8;727,6;713,3;575,8;585,0;601,8;826,1;893,8;692,3;623,1;771,3;602,4;752,4;1028,5;969,5;928,8;845,4;1031,6;1101,3;1216,4;
;;;;;;;;;;;;;;;;;;;;;;;;