ID;CODIDISTR;NOMDISTR;CODIBARRIO;NOMBARRIO;1_2014;2_2014;3_2014;4_2014;1_2015;2_2015;3_2015;4_2015;1_2016;2_2016;3_2016;4_2016;1_2017;2_2017;3_2017;4_2017;1_2018;2_2018;3_2018;2014_8
1;1;Ciutat Vella;1; el Raval;3475;3923;3746;3930;2987;3932;3848;4439;4080;4166;3730;4493;5088;4989;5206;6101;5551;5501;5352;5452
2;1;Ciutat Vella;2; el Barri Gotic;1232;1541;1561;1455;1383;1895;1416;2080;2890;2419;2733;3426;3080;3281;3297;3573;3465;4220;3599;4389
3;1;Ciutat Vella;3; la Barceloneta;1784;2216;1887;2137;2270;3030;2783;3047;1765;1663;1561;1898;2114;2274;1870;2065;1198;1334;922;1142
4;1;Ciutat Vella;4; Sant Pere, Santa Caterina i la Ribera;1944;2594;2736;2377;2130;3058;2678;3566;5365;6113;6545;6561;7190;7538;6705;8560;5373;5683;4588;5973
5;2;Eixample;5; el Fort Pienc;1969;2394;2181;1889;1681;2081;2266;2326;2511;2492;2868;3116;3139;3647;3530;3994;4061;3929;4465;3473
6;2;Eixample;6; la Sagrada Familia;3045;3941;3726;3833;3266;3798;3789;4501;3468;3503;3940;4473;4346;5022;5706;5756;6137;5934;5662;6188
7;2;Eixample;7; la Dreta de l'Eixample;2816;3588;3335;3223;2690;3303;3701;5034;6341;5907;7119;7917;7183;7897;7752;9499;9503;9940;9480;11300
8;2;Eixample;8; l'Antiga Esquerra de l'Eixample;3377;3726;4363;4243;3316;3462;4319;4746;3080;3833;4833;4471;4074;5035;5923;5765;5898;5494;6761;6590
9;2;Eixample;9; la Nova Esquerra de l'Eixample;4170;4184;4820;4488;3796;4171;4855;5600;3781;4339;4936;5122;4956;5409;5733;7163;6056;7291;7593;7239
10;2;Eixample;10; Sant Antoni;2634;2446;2979;2732;2176;2637;2770;3567;2762;3097;3317;3371;2937;3859;4582;5060;4698;4651;5177;4566
11;3;Sants;11; el Poble Sec ;2604;2699;2709;2701;2344;2714;2686;2815;2412;2459;2697;2701;2481;2981;3165;3510;3681;4076;3850;4016
12;3;Sants;12; la Marina del Prat Vermell ;8;6;22;14;13;76;31;94;75;23;12;0;12;26;13;27;13;26;0;13
13;3;Sants;13; la Marina de Port;666;826;730;764;524;756;840;719;847;439;487;616;896;942;704;716;996;865;1322;1312
14;3;Sants;14; la Font de la Guatlla;560;491;707;840;476;446;525;658;638;679;839;782;690;623;1017;866;1126;1128;1056;986
15;3;Sants;15; Hostafrancs;1123;1177;1082;1239;990;933;1158;1573;966;908;1296;1358;1321;1455;1716;1906;1619;2238;1680;1996
16;3;Sants;16; la Bordeta;793;798;853;822;648;615;698;922;884;616;626;795;1257;1124;1567;1447;1421;1255;1484;1657
17;3;Sants;17; Sants - Badal;1427;1590;1673;1621;1207;1698;1837;1734;1275;1580;1689;1863;1506;1844;1824;1949;2198;2155;2301;2412
18;3;Sants;18; Sants;2984;2574;3133;2942;2233;2510;2867;3391;2918;2467;4049;3884;3857;4171;4902;5248;5042;5258;5409;5210
19;4;Les Corts;19; les Corts;2354;2485;3072;2506;2132;2465;3133;3301;3207;3653;4648;4691;4614;4839;5520;5828;5022;5396;6479;5638
20;4;Les Corts;20; la Maternitat i Sant Ramon;967;1033;1701;1296;805;1066;1944;1676;1064;1326;2064;1658;1464;1727;2297;2234;1830;2030;2794;2415
21;4;Les Corts;21; Pedralbes;555;658;727;519;542;597;887;781;779;1152;1293;1212;1036;1302;1507;961;1838;673;1817;1169
22;5;Sarria - Sant Gervasi;22; Vallvidrera, el Tibidabo i les Planes;62;84;123;151;98;103;322;178;152;189;155;151;205;176;134;200;166;243;219;176
23;5;Sarria - Sant Gervasi;23; Sarria;1306;1456;2048;1660;1241;1388;2219;2002;2320;2462;2224;2107;2006;2802;3045;3242;2810;3636;3849;4211
24;5;Sarria - Sant Gervasi;24; les Tres Torres;883;932;1037;991;802;811;1166;1169;1279;1341;1923;1747;1270;1621;2022;1758;2037;1901;2339;1846
25;5;Sarria - Sant Gervasi;25; Sant Gervasi - la Bonanova;1182;1556;2158;1949;1413;2126;2371;2738;2074;1724;1949;2386;2007;2302;2334;2801;2821;3207;2721;3084
26;5;Sarria - Sant Gervasi;26; Sant Gervasi - Galvany;3203;3263;3711;3874;2762;3325;4146;4354;4645;4852;5881;5376;5991;5471;5499;6298;6133;6933;6862;7550
27;5;Sarria - Sant Gervasi;27; el Putxet i el Farro;2123;2273;2448;2479;2521;2706;2734;3496;1867;2104;2410;2451;2543;2494;2760;3453;2660;3177;3235;3696
28;6;Gracia;28; Vallcarca i els Penitents;687;939;1010;1132;815;1163;1049;1469;1269;1026;1284;1507;1820;1620;1673;2121;1557;1735;2101;1738
29;6;Gracia;29; el Coll;391;426;393;338;298;351;394;495;389;416;499;514;437;456;542;590;627;552;603;523
30;6;Gracia;30; la Salut;708;725;675;802;728;617;642;956;913;860;1018;1063;1197;1160;1162;1689;1176;1555;1236;1466
31;6;Gracia;31; la Vila de Gracia;5447;5810;5776;5660;4899;5475;5996;7343;6241;6074;6257;7333;6569;7009;8403;10023;8571;8454;8483;8931
32;6;Gracia;32; el Camp d'en Grassot i Gracia Nova;1927;2155;2456;2608;2298;2531;2293;3014;2586;2581;3182;2845;3146;3548;3805;4892;4468;4945;4538;4519
33;7;Horta-Guinardo;33; el Baix Guinardo;1287;1500;1310;1295;1284;1360;1404;1967;1194;1546;1624;1890;1883;1876;2474;2262;2666;2685;2301;2089
34;7;Horta-Guinardo;34; Can Baro;456;418;609;438;260;487;633;628;352;560;528;596;559;701;742;848;584;873;722;876
35;7;Horta-Guinardo;35; el Guinardo;1786;2090;2050;2076;1681;1919;1979;2295;2587;2379;2339;2694;2886;3458;2874;3961;3271;3301;3100;3546
36;7;Horta-Guinardo;36; la Font d'en Fargues;188;295;243;158;248;281;222;429;324;303;388;388;377;363;414;498;424;367;560;367
37;7;Horta-Guinardo;37; el Carmel;1201;1417;1284;1352;1198;1251;1022;1355;1401;1369;1209;1306;1697;1664;1401;1686;1815;1872;1590;1751
38;7;Horta-Guinardo;38; la Teixonera;439;471;441;533;473;492;503;765;633;715;726;996;926;926;709;874;605;849;997;1052
39;7;Horta-Guinardo;39; Sant Genos dels Agudells;246;307;337;388;153;334;305;372;434;430;362;432;393;480;570;428;440;651;607;640
40;7;Horta-Guinardo;40; Montbau;98;148;202;169;175;266;232;315;200;318;371;364;282;355;360;432;414;356;413;445
41;7;Horta-Guinardo;41; la Vall d'Hebron;117;151;108;95;118;123;127;218;162;184;319;209;246;124;289;331;312;221;316;404
42;7;Horta-Guinardo;42; la Clota;14;17;26;30;51;11;56;7;38;32;27;38;9;28;21;30;46;20;22;52
43;7;Horta-Guinardo;43; Horta;919;954;1027;872;710;1001;1073;1083;2441;786;1525;1404;1935;2592;1816;2415;3091;3108;1305;1512
44;8;Nou Barris;44; Vilapicina i la Torre Llobeta;1069;955;906;826;835;882;748;1062;1090;1352;1068;1116;1674;1420;1488;2009;1314;1888;1719;1849
45;8;Nou Barris;45; Porta;989;1147;1031;1189;887;1024;1253;1172;904;1172;1060;1415;1107;1601;1323;1547;1643;2073;1662;1635
46;8;Nou Barris;46; el Turo de la Peira;483;698;523;558;450;420;496;714;648;683;653;712;734;776;899;967;975;1112;989;975
47;8;Nou Barris;47; Can Peguera;200;88;117;100;42;26;27;19;9;37;49;75;10;62;52;21;11;11;22;34
48;8;Nou Barris;48; la Guineueta;424;565;351;583;248;454;332;524;838;579;733;794;842;897;757;1220;838;1309;1140;1156
49;8;Nou Barris;49; Canyelles;42;39;103;83;21;43;43;44;116;62;73;84;130;97;119;121;69;72;113;87
50;8;Nou Barris;50; les Roquetes;510;525;539;512;518;524;535;464;411;451;373;412;364;513;476;541;545;547;435;525
51;8;Nou Barris;51; Verdun;409;564;538;541;477;544;517;534;591;615;434;602;479;761;581;714;837;804;808;842
52;8;Nou Barris;52; la Prosperitat;998;1090;949;1143;808;1110;1051;1326;911;1277;1230;1364;1151;1288;1321;1722;1362;1922;1577;1867
53;8;Nou Barris;53; la Trinitat Nova;295;307;180;231;174;227;231;323;271;173;213;211;209;275;287;348;228;347;373;299
54;8;Nou Barris;54; Torre Baro;7;112;15;8;15;57;17;31;61;86;0;52;68;25;53;102;34;62;46;44
55;8;Nou Barris;55; Ciutat Meridiana;248;203;247;227;195;172;147;237;135;238;187;291;235;210;205;208;314;306;296;303
56;8;Nou Barris;56; Vallbona;5;19;22;10;15;33;14;15;37;26;38;28;38;54;9;44;32;0;32;10
57;9;Sant Andreu;57; la Trinitat Vella;323;254;313;234;202;315;273;307;254;335;267;303;220;265;221;326;589;357;241;274
58;9;Sant Andreu;58; Baro de Viver;23;71;9;13;42;42;26;20;29;9;31;10;27;17;10;11;42;25;42;54
59;9;Sant Andreu;59; el Bon Pastor;296;268;340;341;297;368;348;462;503;326;296;231;378;507;311;242;391;441;386;370
60;9;Sant Andreu;60; Sant Andreu;2330;2213;2376;2094;1831;2156;2278;2512;2617;2270;2533;2590;2782;3120;2885;3383;3315;3865;3822;3917
61;9;Sant Andreu;61; la Sagrera;1392;1266;1465;1297;1099;1531;1303;1469;1267;1218;1663;1410;1391;1723;1803;2057;1639;2183;2188;2310
62;9;Sant Andreu;62; el Congros i els Indians;631;485;736;661;490;539;507;625;597;634;599;540;937;851;862;992;988;1047;1063;1106
63;9;Sant Andreu;63; Navas;884;762;1094;1003;1083;1022;993;1069;972;802;1070;1191;1174;1490;1609;1798;1633;1662;1507;1919
64;10;Sant Marti;64; el Camp de l'Arpa del Clot;2318;2369;2513;2533;2042;2515;2596;3197;2391;2309;2639;3089;2921;3493;3327;3762;3689;4297;4059;4321
65;10;Sant Marti;65; el Clot;1266;1288;1281;1459;1053;1473;1261;1576;1206;1361;1471;1746;1723;1905;1987;2481;2348;2415;2004;2209
66;10;Sant Marti;66; el Parc i la Llacuna del Poblenou;760;780;866;575;530;915;747;771;658;953;1065;1147;1257;1183;1236;1269;1262;2012;1282;1246
67;10;Sant Marti;67; la Vila Olompica del Poblenou;400;579;406;417;322;618;682;472;619;800;696;933;662;922;1040;1328;1033;1070;930;1048
68;10;Sant Marti;68; el Poblenou;1892;1976;1881;1981;1588;2101;1962;2453;1719;2127;1955;2050;2362;2673;2491;3012;2960;3167;2801;3427
69;10;Sant Marti;69; Diagonal Mar i el Front Marotim del Poblenou;778;505;452;128;422;409;396;1141;660;888;676;1064;1228;1284;1014;1251;1238;1187;2196;1467
70;10;Sant Marti;70; el Besos i el Maresme;671;668;703;615;537;516;610;558;527;437;536;668;597;828;929;1129;1138;1031;1179;1098
71;10;Sant Marti;71; Proven̤als del Poblenou;795;702;615;663;659;736;797;735;799;1055;982;1485;1484;1355;1288;1435;1737;1316;1605;1325
72;10;Sant Marti;72; Sant Marto de Proven̤als;691;853;776;783;822;727;832;808;1001;837;881;944;1053;1321;1163;1255;1341;1455;1265;1271
73;10;Sant Marti;73; la Verneda i la Pau;556;728;713;576;585;602;826;894;692;623;771;602;752;1028;970;929;845;1032;1101;1216